+----+-------+---------------------+------------------------+------------+--------+--------------------------+----------------+-----------------+
|    | Шаг k |         Fk          |           Gk           | Гипотеза s | q(s_i) | Проверка F_k+q_i*G_k < x | Искомый символ | Его вероятность |
+----+-------+---------------------+------------------------+------------+--------+--------------------------+----------------+-----------------+
| 0  |   1   |          0          |           1            |     s1     |  0.0   |         0.0 < x          |                |                 |
| 1  |   1   |          0          |           1            |     s2     |  0.2   |         0.2 < x          |                |                 |
| 2  |   1   |          0          |           1            |     s3     |  0.4   |         0.4 < x          |                |                 |
| 3  |   1   |          0          |           1            |     s4     |  0.5   |         0.5 > x          |       s3       |       0.1       |
| 4  |  ---  |         ---         |          ---           |    ---     |  ---   |           ---            |      ---       |       ---       |
| 5  |   2   |         0.4         |          0.1           |     s1     |  0.0   |         0.4 < x          |                |                 |
| 6  |   2   |         0.4         |          0.1           |     s2     |  0.2   | 0.42000000000000004 > x  |                |                 |
| 7  |   2   |         0.4         |          0.1           |     s3     |  0.4   | 0.44000000000000006 > x  |                |                 |
| 8  |   2   |         0.4         |          0.1           |     s4     |  0.5   |         0.45 > x         |       s1       |       0.2       |
| 9  |  ---  |         ---         |          ---           |    ---     |  ---   |           ---            |      ---       |       ---       |
| 10 |   3   |         0.4         |  0.020000000000000004  |     s1     |  0.0   |         0.4 < x          |                |                 |
| 11 |   3   |         0.4         |  0.020000000000000004  |     s2     |  0.2   |        0.404 < x         |                |                 |
| 12 |   3   |         0.4         |  0.020000000000000004  |     s3     |  0.4   | 0.40800000000000003 > x  |                |                 |
| 13 |   3   |         0.4         |  0.020000000000000004  |     s4     |  0.5   | 0.41000000000000003 > x  |       s2       |       0.2       |
| 14 |  ---  |         ---         |          ---           |    ---     |  ---   |           ---            |      ---       |       ---       |
| 15 |   4   |        0.404        |  0.004000000000000001  |     s1     |  0.0   |        0.404 < x         |                |                 |
| 16 |   4   |        0.404        |  0.004000000000000001  |     s2     |  0.2   | 0.40480000000000005 < x  |                |                 |
| 17 |   4   |        0.404        |  0.004000000000000001  |     s3     |  0.4   |        0.4056 < x        |                |                 |
| 18 |   4   |        0.404        |  0.004000000000000001  |     s4     |  0.5   |        0.406 < x         |       s4       |       0.5       |
| 19 |  ---  |         ---         |          ---           |    ---     |  ---   |           ---            |      ---       |       ---       |
| 20 |   5   |        0.406        | 0.0020000000000000005  |     s1     |  0.0   |        0.406 < x         |                |                 |
| 21 |   5   |        0.406        | 0.0020000000000000005  |     s2     |  0.2   | 0.40640000000000004 < x  |                |                 |
| 22 |   5   |        0.406        | 0.0020000000000000005  |     s3     |  0.4   | 0.40680000000000005 < x  |                |                 |
| 23 |   5   |        0.406        | 0.0020000000000000005  |     s4     |  0.5   | 0.40700000000000003 > x  |       s3       |       0.1       |
| 24 |  ---  |         ---         |          ---           |    ---     |  ---   |           ---            |      ---       |       ---       |
| 25 |   6   | 0.40680000000000005 | 0.00020000000000000006 |     s1     |  0.0   | 0.40680000000000005 < x  |                |                 |
| 26 |   6   | 0.40680000000000005 | 0.00020000000000000006 |     s2     |  0.2   | 0.40684000000000003 < x  |                |                 |
| 27 |   6   | 0.40680000000000005 | 0.00020000000000000006 |     s3     |  0.4   |  0.4068800000000001 > x  |                |                 |
| 28 |   6   | 0.40680000000000005 | 0.00020000000000000006 |     s4     |  0.5   | 0.40690000000000004 > x  |       s2       |       0.2       |
| 29 |  ---  |         ---         |          ---           |    ---     |  ---   |           ---            |      ---       |       ---       |
| 30 |   7   | 0.40684000000000003 | 4.000000000000002e-05  |     s1     |  0.0   | 0.40684000000000003 < x  |                |                 |
| 31 |   7   | 0.40684000000000003 | 4.000000000000002e-05  |     s2     |  0.2   | 0.40684800000000004 > x  |                |                 |
| 32 |   7   | 0.40684000000000003 | 4.000000000000002e-05  |     s3     |  0.4   | 0.40685600000000005 > x  |                |                 |
| 33 |   7   | 0.40684000000000003 | 4.000000000000002e-05  |     s4     |  0.5   | 0.40686000000000005 > x  |       s1       |       0.2       |
| 34 |  ---  |         ---         |          ---           |    ---     |  ---   |           ---            |      ---       |       ---       |
+----+-------+---------------------+------------------------+------------+--------+--------------------------+----------------+-----------------+
